"%s %s cycle.","%s %s Lingkaran."
"Selected payment type is not allowed for billing country.","Selected payment type is not allowed for billing country."
"Send Check to","Kirim cek ke"
"Send Check to:","Kirim Cek ke:"
"Severe 3D Secure Card Validation","Validasi Kartu yang berat keamanan 3D"
"Severe validation removes chargeback liability on merchant.","Validasi yang berat menghilangkan kewajiban pembayaran kembali pada pedagang."
"Shipping Amount","Nilai Pengiriman"
"Short description of the recurring payment. By default equals to the product name.","Short description of the recurring payment. By default equals to the product name."
"Sort Order","Urutan sortir"
"Start Date","Tanggal mulai"
"Start date has invalid format.","Tanggal mulai memiliki format tidak valid. "
"Start date is undefined.","Tanggal Mulai ditentukan"
"Subscriber Name","Nama Pelanggan "
"Switch/Solo/Maestro Issue Number","Ganti/Solo/Edisi nomor Maestro"
"Switch/Solo/Maestro Only","Ganti/Solo/Hanya maestro"
"Switch/Solo/Maestro Start Date","Ganti/Solo/Maestro Tanggal mulai"
"Tax Amount","Jumlah pajak"
"Test Mode","Mode tes"
"The date when billing for the profile begins.","Tanggal saat penagihan untuk profil dimulai. "
"The number of billing cycles for payment period.","Jumlah siklus penagihan untuk periode pembayaran. "
"The number of scheduled payments that can fail before the profile is automatically suspended.","Jumlah pembayaran terjadwal yang dapat gagal sebelum profil secara otomatis dihentikan."
"The payment review action is unavailable.","Tindakan ulasan pembayaran tidak tersedia. "
"The requested Payment Method is not available.","Metode pembayaran yang diminta tidak tersedia."
"Title","Judul"
"Trial Billing Amount","Jumlah percobaan Penagihan "
"Trial Billing Frequency","Frekuensi Percobaan Penagihan"
"Trial Billing Period Unit","Periode unit percobaab penagihan"
"Trial Period","Masa Periode"
"Trial billing amount is wrong.","Jumlah percobaan tagihan salah."
"Trial billing period unit is wrong.","unit periode percobaan tagihan salah."
"Trial period frequency is wrong.","Frekuensi Percobaan tagihan salah."
"Trial period max cycles is wrong.","Maksimal siklus periode percobaan salah."
"Two Weeks","Dua minggu"
"Unable to save Billing Agreement:","Tidak dapat menyimpan persetujuan pembayaran:"
"Unit for billing during the subscription period.","Unit penagihan selama masa berlangganan."
"Unsupported currency code: %s.","Kode kurs tidak di dukung: %s."
"Void action is not available.","Void action is not available."
"Week","Pekan"
"What is this?","Apa ini?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Baik untuk menangguhkan profil pembayaran jika biaya awal gagal atau menambahkannya ke saldo. "
"Wrong %s specified.","Salah%s ditentukan."
"Wrong or empty billing amount specified.","Salah atau kosong penagihan jumlah yang ditentukan."
"Year","Tahun"
"Zero Subtotal Checkout","Subtotal Checkout Nol"
